ID_INTGR,latitude,longitude,energiaConsumida2022
VVR-00002,39.573654,-7.782657,1
BRR-00014,38.65622,-9.05686,1
LLE-00053,37.10451,-8.076059,2
VCD-00012,41.288928,-8.702743,2
GMR-00087,41.46473,-8.33167,2
CLB-00006,40.6261746,-7.4024678,2
PTS-00001,32.679825,-17.086709,3
NZR-00012,39.607647,-9.0561772,3
LRA-00031,39.712402,-8.711478,90180
PRT-00077,41.162806,-8.590861,92587
CNT-00007,40.33179,-8.49385,98105
LRA-00028,39.713017,-8.709729,99264
LRA-00030,39.712552,-8.711328,113728
AMD-00026,38.74092,-9.224724,120172
CNT-00008,40.33426,-8.49234,121068
STR-00022,39.39197,-8.637996,131709
